STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DT00,DT32,DX32,DX70,DX90,EMNT,EMXP,EMXT,HTDD,PRCP,TAVG,TMAX,TMIN
IN005120000,"NALIYA, IN",23.25,68.85,21,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,43.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,61.9
IN005120000,"NALIYA, IN",23.25,68.85,21,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,60.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,71.2
IN005120000,"NALIYA, IN",23.25,68.85,21,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,69.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,81.0
IN001050200,"KAKINADA, IN",16.95,82.233,8,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,71.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,75.6
IN009100200,"GULBARGA, IN",17.35,76.85,458,2025-03,1477.0,638.0,22.31578947,17.84210526,0,0,0,31.0,31.0,62.0,6.698421053,106.0,0.0,24.45368421,88.6,103.0,74.2
IN009100200,"GULBARGA, IN",17.35,76.85,458,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,30.0,30.0,62.98222222,6.698421053,110.0,12.28888889,24.45368421,81.53204554,105.4,71.00517182
IN009100200,"GULBARGA, IN",17.35,76.85,458,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,30.0,24.0,62.98222222,6.698421053,108.0,12.28888889,24.45368421,81.53204554,98.5,71.00517182
IN011060800,"PENDRA ROAD, IN",22.767,81.9,625,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,52.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,63.9
IN011060800,"PENDRA ROAD, IN",22.767,81.9,625,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,64.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,71.6
IN011060800,"PENDRA ROAD, IN",22.767,81.9,625,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,64.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,73.2
IN020120700,"NAGAPPATTINAM, IN",10.767,79.85,9,2025-03,1280.0,507.0,22.31578947,17.84210526,0,0,0,29.0,21.0,72.0,6.698421053,94.0,0.0,24.45368421,83.7,91.1,76.4
IN020120700,"NAGAPPATTINAM, IN",10.767,79.85,9,2025-04,1861.0,581.0,22.31578947,17.84210526,0,0,0,28.0,28.0,73.0,6.698421053,100.0,0.0,24.45368421,87.3,95.0,79.6
IN099999901,"PORT BLAIR, IN",11.667,92.717,79,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,72.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,76.6
IN099999901,"PORT BLAIR, IN",11.667,92.717,79,2025-05,925.6964286,414.0777778,21.0,17.0,0,0,0,27.54945055,22.34065934,62.98222222,2.76,101.3626374,12.28888889,16.5,81.53204554,95.03336038,71.00517182
IN020040900,"MADRAS MINAMBAKKAM, IN",13.0,80.183,16,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,70.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,75.9
IN023310500,"JHANSI, IN",25.45,78.617,258,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,53.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,63.3
IN023310500,"JHANSI, IN",25.45,78.617,258,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,64.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,74.4
IN023310500,"JHANSI, IN",25.45,78.617,258,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,69.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,81.1
IN023550800,"VARANASI, IN",25.3,83.017,90,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,24.0,62.98222222,6.698421053,105.0,12.28888889,24.45368421,81.53204554,96.3,71.00517182
IN023550800,"VARANASI, IN",25.3,83.017,90,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,27.0,72.0,6.698421053,113.0,12.28888889,24.45368421,92.5,104.5,80.5
IN001120100,"KURNOOL, IN",15.8,78.067,281,2025-03,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,67.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,75.9
IN001120100,"KURNOOL, IN",15.8,78.067,281,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,25.0,25.0,72.0,6.698421053,108.0,12.28888889,24.45368421,91.9,103.7,80.1
IN012201300,"HARNAI, IN",17.817,73.1,20,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.54945055,22.34065934,73.0,6.698421053,101.3626374,12.28888889,24.45368421,81.53204554,95.03336038,79.1
IN023420800,"MUKTESHWAR KUMAON, IN",29.467,79.65,2311,2025-03,1.0,1.0,22.31578947,17.84210526,0,0,0,12.0,0.0,36.0,6.698421053,78.0,266.0,24.45368421,56.2,68.8,43.5
IN023420800,"MUKTESHWAR KUMAON, IN",29.467,79.65,2311,2025-04,26.0,25.0,22.31578947,17.84210526,0,0,0,27.0,0.0,41.0,6.698421053,82.0,66.0,24.45368421,63.6,75.7,51.5
IN023420800,"MUKTESHWAR KUMAON, IN",29.467,79.65,2311,2025-05,47.0,21.0,22.31578947,17.84210526,0,0,0,19.0,0.0,49.0,6.698421053,81.0,57.0,24.45368421,63.7,73.7,53.8
IN001170800,"NIZAMABAD, IN",18.667,78.1,381,2025-03,1350.0,616.0,22.31578947,17.84210526,0,0,0,30.0,30.0,61.0,6.698421053,106.0,0.0,24.45368421,87.0,101.6,72.5
IN001170800,"NIZAMABAD, IN",18.667,78.1,381,2025-04,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,27.0,27.0,75.0,6.698421053,113.0,12.28888889,24.45368421,93.4,107.3,79.4
IN001170800,"NIZAMABAD, IN",18.667,78.1,381,2025-05,925.6964286,414.0777778,22.31578947,17.84210526,0,0,0,29.0,27.0,62.98222222,6.698421053,110.0,12.28888889,24.45368421,81.53204554,101.2,71.00517182
